Companyname	attribute	value	fiscial_year	quarter	date_inserted	source	unit
Nelly	Antal Aktier	30.00	2024	4	2026-04-02 11:52:28+00	borsdata	Milj
Nelly	Antal Aktier	30.00	2025	1	2026-04-02 11:52:28+00	borsdata	Milj
Nelly	Antal Aktier	30.00	2025	2	2026-04-02 11:52:28+00	borsdata	Milj
Nelly	Antal Aktier	30.00	2025	3	2026-04-02 11:52:28+00	borsdata	Milj
Nelly	Antal Aktier	30.00	2025	4	2026-04-02 11:52:28+00	borsdata	Milj
Nelly	Utdelning	0.00	2023	3	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.83	2023	4	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.83	2024	1	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.83	2024	2	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.83	2024	3	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.00	2024	4	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.00	2025	1	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.00	2025	2	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.00	2025	3	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Utdelning	0.00	2025	4	2026-04-02 11:52:28+00	borsdata	SEK
Nelly	Immateriella tillgångar	63.8	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	67.7	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	74.3	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	79.3	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	79.6	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	78.0	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	77.6	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	81.4	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	82.9	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Immateriella tillgångar	84.0	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	288	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	283	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	274	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	264	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	253	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	251	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	242	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	234	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	275	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Materiella tillgångar	289	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	82.9	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	83.2	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	86.7	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	83.8	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	84.0	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	114	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	113	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	113	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	114	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Finansiella tillgångar	127	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	435	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	434	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	435	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	427	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	417	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	443	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	433	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	429	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	471	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Anläggningstillgångar	500	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	120	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	151	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	126	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	220	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	190	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	197	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	173	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	260	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	227	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassa/Bank	254	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	381	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	366	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	366	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	428	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	419	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	425	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	414	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	485	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	504	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Omsättningstillgångar	490	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	914	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	975	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Tillgångar	990	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	159	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	179	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	177	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	203	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	226	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	237	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	253	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	306	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	348	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital	406	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	204	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	183	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	178	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	172	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	236	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	268	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	261	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	248	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	287	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Långfristiga Skulder	265	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	454	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	438	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	447	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	479	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	374	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	363	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	333	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	359	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	340	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kortfristiga Skulder	319	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	816	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	800	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	801	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	855	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	836	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	868	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	847	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	914	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	975	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Summa Eget Kapital och Skulder	990	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	170	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	133	2023	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	150	2024	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	48.5	2024	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	70.2	2024	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	63.5	2024	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	80.0	2025	1	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	-15.0	2025	2	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	59.9	2025	3	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Nettoskuld	33.3	2025	4	2026-04-02 11:52:28+00	borsdata	MSEK
Nelly	Kassaf LöpandeVerk	-13.7	2023	3	2026-04-02 11:52:28+00	borsdata	MSEK
