companyid	company_name
353	Constellation Oil
354	Consti
355	Construction & Materials
356	Consumer Products
357	Consumer Services
358	ContextVision
359	Cool Company
360	Coor Service Management
361	Copenhagen Capital
362	Corem Property A
363	Corem Property B
364	Corem Property D
365	Corem Property Pref
366	Corline Biomedical
367	Crayon Group
368	Creades
369	Creturner
370	Crown Energy
371	Crunchfish
372	CTEK
373	CTT Systems
374	Curasight
375	Cyber Security 1
376	Cyclezyme
377	Cyviz
378	D/S Norden
379	Dala Energi
380	Dancann Pharma
381	Danish Aerospace
382	Danske Andelskassers
383	Danske Bank
384	Dantax
385	Dataproces
386	DecideAct
387	Dedicare
388	Deep Value Driller
389	Demant
390	Desenio
391	Desert Control
392	Detection
393	DevPort
394	Devyser Diagnostics
395	DexTech Medical
396	DFDS
397	Diadrom
398	Diagonal Bio
399	Diamyd Medical
400	Dicot Pharma
401	Digia
402	Digital Workforce
403	Digitalist Group
404	Dignitana
405	Diös Fastigheter
406	DistIT
407	District Metals
408	Dividend Sweden
409	Divio Technologies
410	Djurslands Bank
411	Dlaboratory
412	DNB Bank
413	DNO
414	DOF Group
415	Dolphin Drilling
416	Dometic
417	Done.ai
418	DonkeyRepublic
419	Doro
420	Double Bond Pharma
421	Dovre
422	Doxa
423	Drillcon
424	DSV
425	Duell
426	Dug Foodtech
427	Duni
428	Duroc
429	Dustin Group
430	Dynavox Group
431	Eagle Filters
432	EAM Solar
433	Eastnine
434	EasyFill
435	EatGood
436	Ecoclime
437	ECOMB
438	EcoRub
439	EcoUp
440	Edda Wind
441	Edyoutec
442	eEducation Albert
443	Eevia Health
444	Eezy
445	Effnetplattformen
446	Egetis Therapeutics
447	EgnsINVEST
448	Eidesvik Offshore
449	Elanders
450	Elecster
451	Electricity
452	Electrolux A
453	Electrolux B
454	Electrolux Professional B
455	Electromagnetic Geoservices
456	Electronic Equipment
457	Elekta
458	Elektroimportoren
459	Elicera Therapeutics
460	Elisa
461	Elkem
462	Ellen
463	Elliptic Laboratories
464	ELLWEE
465	Elmera
466	Elon
467	Elopak
468	Eltel
469	EMB Mission Bound
470	EmbeddedArt
471	Embellence
472	Embla Medical
473	Embracer
474	Enad Global 7
475	Endomines Finland
476	Endur
477	Enea
478	Enento
479	Energeia
480	Energy Save
481	Enersense
482	Enersize
483	Engcon
484	Eniro
485	Ennogie Solar
486	Enorama Pharma
487	Enrad
488	Ensurge Micropower
489	Entra
490	Envar
491	Envipco
492	Envirologic
493	Enzymatica
494	Eolus Vind
495	Ependion
496	Epiroc A
497	Epiroc B
498	Episurf Medical
499	eQ Oyj
500	EQL Pharma
501	EQT
502	Equinor
503	EQVA
504	Ericsson A
505	Ericsson B
506	Erria
507	Essity A
508	Essity B
509	Etteplan
510	Eurobattery Minerals
511	Europris
512	Everysport
513	Evli
514	Evolear
515	Evolution
516	eWork
517	EXACT Therapeutics
518	Exalt
519	Exel Composites
520	ExpreS2ion Biotech
521	Exsitec
522	Eyeon Group
523	F-Secure
524	Fabege
525	Fable Media
526	Fagerhult
527	Faron Pharmaceuticals
528	Fasadgruppen
529	Fast Balder
530	Fast Ejendom
531	Fastator
532	Fastighetsbolag Emilshus Pref
533	Fastighetsbolaget Emilshus
534	Fastpartner A
535	Fastpartner D
536	FastPassCorp
537	Fenix Outdoor
538	Ferroamp
539	Ferronordic
540	Fifax
541	Finance & Credit Services
542	Financial Services
543	Finepart
544	Fingerprint Cards
545	Finnair
546	Firefly
547	First Nordic Metals
548	First North All
549	First Venture
550	FirstFarms
551	Fiskars
552	Flat Capital
553	Flekkefjord Sparebank
554	Fleming Properties
555	Flerie
556	FLEX LNG
557	Flexion Mobile
558	Flexqube
559	Flowscape
560	FLSmidth & Co.
561	Flugger
562	Fluicell
563	FluoGuide
564	FM Mattsson
565	Fodelia
566	Fom Technologies
567	Fondia
568	Food & Beverage
569	Food Producers
570	Formpipe Software
571	Foroya Banki
572	Fortinova
573	Fortnox
574	Fortum
575	Fractal Gaming
576	Fragbite
577	Fram Skandinavien
578	Free2Move
579	Freemelt
580	Freetrailer
581	Freja eID
582	Frilans
583	Front Ventures
584	Frontline
585	Frontwalker
586	FSport
587	FX International
588	Fynske Bank
589	G5 Entertainment
