file_name	processed	type
2c8d2dbb_4014858.pdf	TRUE	other
2d155bb9_828c5e0e2af756b2.pdf	TRUE	other
2d37d535_fasadgruppen-announces-preliminary-outcome-in-the-rights-issue-7173399-8.pdf	TRUE	other
2d5e6405_invitation-to-attend-the-annual-general-meeting-of-norion-bank-ab-publ.pdf	TRUE	other
2ebf6fc9_kallelse-till-arsstamma-i-alligator-bioscience-ab.pdf	TRUE	other
31a0eb7d_the-board-of-directors-of-flerie-has-resolved-to-convert-ordinary-shares-into-series-c-shares-under-fleries-share-redemption-scheme.pdf	TRUE	other
3247dd4a_notice-to-attend-the-annual-general-meeting-of-invisio.pdf	TRUE	other
32659cc0_4016283.pdf	TRUE	other
32b62514_4011004.pdf	TRUE	other
32db6146_arion-bank-transactions-in-relation-to-a-share-buyback-programme-the-buyback-programme-is-now-concluded.pdf	TRUE	other
33b2b2bc_kallelse-till-arsstamma-i-catella-ab.pdf	TRUE	other
346cdbf2_change-in-number-of-shares-and-votes-in-aak-ab-publ.pdf	TRUE	other
3515fc26_4016956.pdf	TRUE	Annual report
35ec640e_20260331_pm_isofol_utfall-to1-2026.pdf	TRUE	other
3716980b_4017081.pdf	TRUE	other
38ae339d_castellum-annual-report-2025.pdf	TRUE	Annual report
38c0b2b7_svolders-substansvarde-2026-03-27-48-sek-per-aktie.pdf	TRUE	other
38f6c5e5_4011939.pdf	TRUE	other
3908bd9d_kallelse-till-arsstamma-i-stockwik-forvaltning-ab-publ.pdf	TRUE	other
3a232397_4016838.pdf	TRUE	other
3a6a5a53_kallelse-till-extra-bolagsstamma-i-precise-biometrics-ab.pdf	TRUE	other
3a98a050_4012918.pdf	TRUE	other
3af34277_changed-number-of-votes-in-logistea.pdf	TRUE	other
3b4eb0a8_4016752.pdf	TRUE	other
3b7f4da5_4016607.pdf	TRUE	other
3bbd0e4b_egetis-announces-fda-acceptance-and-priority-review-of-nda-for-emcitate-r-tiratricol-for-mct8-deficiency.pdf	TRUE	other
3c286226_appear-asa-appear-announces-strategic-contract-with-a-leading-us-sports-broadcaster.pdf	TRUE	other
3d67c032_forandrat-antal-roster-i-logistea.pdf	TRUE	other
3df050a7_3987584.pdf	TRUE	other
3e1fdec0_notice-of-annual-general-meeting-of-bhg-group.pdf	TRUE	other
3e76b11d_correction-notice-of-annual-general-meeting-of-bhg-group.pdf	TRUE	other
3ec789bd_4015782.pdf	TRUE	other
3f240c4e_notice-to-annual-general-meeting-in-volati-ab-publ.pdf	TRUE	other
3fa48f2f_andrat-antal-aktier-och-roster-i-aak-ab-publ.pdf	TRUE	other
40abbcbd_4014101.pdf	TRUE	other
40ada6e1_4013426.pdf	TRUE	other
40ede9e3_a2ca7d134992e685.pdf	TRUE	other
41e404fc_form-for-advance-voting-for-annual-general-meeting-2026-xbrane-biopharma-ab.pdf	TRUE	other
41e404fc_notice-of-annual-general-meeting-in-xbrane-biopharma-ab.pdf	TRUE	other
41e404fc_proxy-form-for-annual-general-meeting-2026-xbrane-biopharma-ab.pdf	TRUE	other
424b6060_notice-of-annual-general-meeting-of-profoto-holding-ab-publ.pdf	TRUE	other
429711a3_4014255.pdf	TRUE	other
42b5a3c2_adb8c57634855cab.pdf	TRUE	other
44b1067b_b16b947b55cc7c3d.pdf	TRUE	other
45388df7_engcon-ab-annual-and-sustainability-report-2025.pdf	TRUE	Annual report
4591ce3c_4014509.pdf	TRUE	other
45c38360_4017373.pdf	TRUE	other
465a89b6_4012218.pdf	TRUE	other
4756ad07_4017647.pdf	TRUE	Annual report
47d6a82b_medicover-arsredovisning-2025.pdf	TRUE	Annual report
496f08a1_notice-to-annual-general-meeting-of-engcon-ab.pdf	TRUE	other
4e59dcad_forandring-i-antal-aktier-och-roster-i-starbreeze-ab.pdf	TRUE	other
4e6632fc_27-03.pdf	TRUE	other
4f0a390b_xspray-publishes-disclosure-document-regarding-rights-issue.pdf	TRUE	other
4f389d90_begroup-ar-2025-eng.pdf	TRUE	Annual report
504678dd_bioinvent-ar-2025-en.pdf	TRUE	Annual report
507a643e_vef-agm-2026-notice.pdf	TRUE	other
50ece306_notice_of_the_annual_general_meeting_2026.pdf	TRUE	other
51d46bdf_mats-granryd-krt-1500.pdf	TRUE	other
528c1e56_notice_of_annual_general_meeting_dnb_bank_asa.pdf	TRUE	other
